location_id,outlet_code,location_name,region,kiosk_count,location_live_date,kiosk_id,kiosk_serial_number,kiosk_hardware_model,assigned_at,unassigned_at,is_currently_assigned
4e2f09ea-5494-4fe3-955b-22b99f2171c8,0S,Novotel Greenwich,United Kingdom,2,2025-09-06 00:00:00,5ae91f74-6e11-4923-8eae-8d260a762e09,WKG-POS-305,,2026-04-18 12:36:55.117125+00,,TRUE
4e2f09ea-5494-4fe3-955b-22b99f2171c8,0S,Novotel Greenwich,United Kingdom,2,2025-09-06 00:00:00,1c643524-1975-4caa-8c62-73034cc6b6d7,WKG-POS-241,,2026-04-18 12:40:13.56573+00,,TRUE
23d79d72-b8b5-429a-aed9-482bbc31f85e,0V,Kenwood Hall,United Kingdom,2,2025-08-12 00:00:00,af45fcdb-1cbe-4ca5-b7f5-b1bae0a2bc3f,WKG-POS-408,,2026-04-18 12:37:42.876267+00,,TRUE
23d79d72-b8b5-429a-aed9-482bbc31f85e,0V,Kenwood Hall,United Kingdom,2,2025-08-12 00:00:00,8a2e64b4-3b52-4f6d-924f-4dc46e568be3,WKG-POS-008,Wall Mounted,2026-04-18 12:45:40.942681+00,,TRUE
e944948e-14c6-4cc1-9b90-c1de9b10bfac,1S,Hotel Zentral Castellana Norte,Spain,2,2024-11-19 03:55:00,0a54fee7-4a80-4867-9f77-0aa2b7f9bdec,WKG-POS-291,,2026-04-18 12:36:48.915776+00,,TRUE
e944948e-14c6-4cc1-9b90-c1de9b10bfac,1S,Hotel Zentral Castellana Norte,Spain,2,2024-11-19 03:55:00,d5ea32f3-4f68-40ae-a6d4-eb0d3f79872a,WKG-POS-058,,2026-04-18 12:43:42.883758+00,,TRUE
4bb6a72c-84e4-4269-971c-c7564d07ad28,1U,Assembly Hotel Covent Garden SSM,United Kingdom,2,2023-12-20 00:00:00,98ff7f9b-003a-40e0-809e-9c05865540f2,WKG-POS-485,,2026-04-18 12:38:09.455231+00,,TRUE
4bb6a72c-84e4-4269-971c-c7564d07ad28,1U,Assembly Hotel Covent Garden SSM,United Kingdom,2,2023-12-20 00:00:00,e0562797-c401-4c7b-822f-3fbe08a235e5,WKG-POS-066,,2026-04-18 12:43:57.824302+00,,TRUE
20af8a7f-fd9b-42b9-b998-52b077ce66ea,1W,Holiday Inn Frankfurt - Alte Oper,Germany,2,2024-04-02 10:19:00,2d075b14-7fd8-436e-b188-6371d0ceff17,WKG-POS-047,KONG Self-Stadning,2026-04-18 12:43:15.021723+00,,TRUE
20af8a7f-fd9b-42b9-b998-52b077ce66ea,1W,Holiday Inn Frankfurt - Alte Oper,Germany,2,2024-04-02 10:19:00,20f1f02a-42b3-47cf-b5a8-40e6024e1e25,WKG-POS-284,,2026-04-18 12:47:04.956611+00,,TRUE
54db0054-f61f-4248-908c-a0c9a18db4df,2S,Melia Innside Valdebebas,Spain,2,2025-07-09 00:00:00,9e2c8e44-b756-47a2-b264-4842cf7d345b,WKG-POS-293,,2026-04-18 12:40:15.210248+00,,TRUE
54db0054-f61f-4248-908c-a0c9a18db4df,2S,Melia Innside Valdebebas,Spain,2,2025-07-09 00:00:00,81a32761-0297-41c2-a5ef-7bbfcf53ff29,WKG-POS-199,,2026-04-18 12:40:36.580565+00,,TRUE
bfa01378-9baf-4e33-a46a-1a1fc21e2ebb,2U,Crowne Plaza London Kings Cross SSM,United Kingdom,2,2024-02-22 00:00:00,877f29f5-afa1-4762-800d-4501bad63c33,WKG-POS-332,,2026-04-18 12:38:00.960056+00,,TRUE
bfa01378-9baf-4e33-a46a-1a1fc21e2ebb,2U,Crowne Plaza London Kings Cross SSM,United Kingdom,2,2024-02-22 00:00:00,e500e74b-e991-44ed-9670-8c078ac19d88,WKG-POS-18-01,WKG Desktop,2026-04-18 12:43:48.529423+00,,TRUE
36b395ff-67de-492a-9746-be8948d3e216,3U,Zedwell Greenwich SSM,United Kingdom,2,2023-12-18 00:00:00,fbc7dae1-2960-4a78-9443-e58bcb1f57e4,WKG-POS-123,,2026-04-18 12:38:11.39276+00,,TRUE
36b395ff-67de-492a-9746-be8948d3e216,3U,Zedwell Greenwich SSM,United Kingdom,2,2023-12-18 00:00:00,2e370cf2-8053-4619-a9bf-9f4069b9cd80,WKG-POS-064,,2026-04-18 12:43:52.841283+00,,TRUE
9ecf913f-c61f-4756-8a58-57e8b15de6b4,3W,ibis budget Berlin Kurfuerstendamm,Germany,2,2024-07-26 01:00:00,cf16487b-34b3-47ea-9c02-e470b64b04ee,WKG-POS-083,KONG Self-Stadning,2026-04-18 12:43:08.984671+00,,TRUE
9ecf913f-c61f-4756-8a58-57e8b15de6b4,3W,ibis budget Berlin Kurfuerstendamm,Germany,2,2024-07-26 01:00:00,594fd5a7-1cee-4b7d-812e-7f0381baceaa,WKG-POS-124,,2026-04-18 12:47:07.472672+00,,TRUE
0af4a262-6fad-4ced-ab4f-f50dd92f428b,4S,Sheraton Skyline SSM,United Kingdom,2,2023-09-12 00:00:00,cb0f5fa5-66d4-4b72-828f-a1866dcca56f,WKG-POS-295,,2026-04-18 12:36:50.605882+00,,TRUE
0af4a262-6fad-4ced-ab4f-f50dd92f428b,4S,Sheraton Skyline SSM,United Kingdom,2,2023-09-12 00:00:00,ca953d8f-2462-4406-b6b2-528654c7bb04,WKG-POS-078,,2026-04-18 12:44:15.14223+00,,TRUE
fef8cb63-7c81-4133-9b8a-de3a1fd0f5fe,4X,Room 2,United Kingdom,2,2024-08-21 09:19:00,1788879d-4896-45c4-a0b4-cb0582c2f79c,WKG-POS-101,,2026-04-18 12:42:51.966873+00,,TRUE
fef8cb63-7c81-4133-9b8a-de3a1fd0f5fe,4X,Room 2,United Kingdom,2,2024-08-21 09:19:00,6f37fc4e-a220-4453-b21d-bf666130d77d,WKG-POS-ELO,,2026-04-18 12:43:03.945924+00,,TRUE
d3029397-8768-413e-9ed4-5f0622d0a71b,5S,Moxy Manchester City,United Kingdom,2,2025-07-09 00:00:00,13ed470d-bb86-4605-8acb-7e3214a5b502,WKG-POS-296,,2026-04-18 12:36:52.239064+00,,TRUE
d3029397-8768-413e-9ed4-5f0622d0a71b,5S,Moxy Manchester City,United Kingdom,2,2025-07-09 00:00:00,ef2c4440-990d-4ca8-92a7-cb78df2f38cc,WKG-POS-200,,2026-04-18 12:40:47.575333+00,,TRUE
bb351480-5b8d-466a-b1c0-9541db0ad6ad,6S,Hotel Ciudad de Alcalá,Spain,2,2025-08-12 00:00:00,2df5a14c-c1e5-4c87-85e8-3af9174b1fea,WKG-POS-222,,2026-04-18 12:45:32.352947+00,,TRUE
bb351480-5b8d-466a-b1c0-9541db0ad6ad,6S,Hotel Ciudad de Alcalá,Spain,2,2025-08-12 00:00:00,49edd33f-71bd-47ac-acb5-4eed4d2e588e,WKG-POS-297,,2026-04-18 12:46:30.863153+00,,TRUE
276dcaa3-c1a0-46df-9b3a-98bed38642c6,7K,Courtyard by Marriott SSM,United Kingdom,2,2023-09-21 00:00:00,8e6e3da1-431e-491e-961d-6545e7a8d8ac,WKG-POS-21-11,KONG Self-Stadning,2026-04-18 12:44:20.240744+00,,TRUE
